Condition\Participate ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Mean
1,340.5426049,183.9544507,79.15721348,124.508201,213.851098,175.961235,237.7982493,205.9609538,105.5190712,136.918632,466.7627462,239.3206692,104.7299682,198.7877338,200.9837734
2,203.2839349,83.41897682,82.38831534,79.11985669,40.04564273,166.7863412,96.86093381,205.0613892,125.5829605,43.82455274,330.7951879,48.21365121,79.21522918,649.1511458,159.553437
3,95.80814244,902.4411338,70.4087971,75.31090535,284.3398017,464.5460486,72.0522432,88.90807056,51.58758489,221.9142985,300.9748664,108.2141613,66.32165546,212.4926475,215.3800255
4,99.10733555,202.1245909,753.7178545,65.3204651,914.1707766,982.7504211,147.163433,171.1446007,64.92813359,930.3798395,761.8902765,235.8089774,93.84109751,366.5839746,413.4951269
5,217.984554,130.2070487,92.76972494,83.20607724,148.4603342,259.086249,117.0952674,389.1061819,36.67153492,247.2277937,133.2098278,105.4719508,101.8086797,436.1423106,178.4605382
6,156.3928977,172.265589,85.94593133,135.9933524,236.3164319,151.7721008,71.00272731,239.5490647,167.3655215,61.66036004,149.7173685,51.97114584,125.0142944,389.9663372,156.7809373
7,178.4031143,108.0344828,35.53047465,62.55776344,36.23336585,529.5136109,93.03649929,970.7169641,216.8295507,112.1289308,781.7517287,63.84853965,85.24216941,90.40694672,240.3024387
8,1017.916179,216.1871269,609.8577802,55.84442113,284.4524893,655.2565541,178.2064945,146.8678688,85.70297544,710.8088235,146.4474794,258.3264848,75.10812663,237.8756466,334.204175
9,42.52058325,148.0816332,87.44653209,47.66962897,124.4483252,1050.34036,450.6323368,459.7151219,201.8541462,38.88028623,196.8694993,156.8932382,113.7741148,108.9330192,230.5756303
10,45.45327271,114.4635953,124.9677801,91.62731496,103.4216827,195.693869,289.0885162,266.1786146,84.21995013,904.4852173,209.3333772,100.8717355,39.803597,682.2744071,232.2773521
11,183.193401,84.35707869,107.3085171,108.5057715,80.26766925,266.831373,81.54607384,158.9117535,92.92956019,85.07599712,916.9600005,241.3193204,43.29277434,128.1441132,184.1888145
12,121.2829909,675.9186342,91.89341161,56.36580674,65.74462172,90.84077141,309.6002406,91.97756311,96.30208766,158.3741097,379.3421302,56.40035461,80.54286074,329.7074658,186.0209321
13,775.6673016,309.3478246,52.93732758,27.72484605,85.68162129,836.745286,313.45434,96.09051517,225.4232956,490.0624599,569.463832,239.8653249,129.7107353,1014.785827,369.0686098
14,207.6168697,194.0138206,60.51820515,150.5701787,232.4188312,513.8557543,263.3363918,198.1519845,73.97175181,124.9079661,86.1190699,67.07063453,195.8645235,703.1690847,219.3989333
15,84.92639012,147.8026667,43.46238382,34.83118794,279.5959421,307.5238601,183.6148779,53.81759099,49.10522286,330.6904841,1035.070895,209.268215,57.68386383,225.8545681,217.3748678
16,230.599159,336.5035127,55.50735675,61.77319304,195.8988464,156.4222701,79.60527621,118.0109197,90.04998612,55.87088055,34.97180754,77.23341246,74.35634458,104.7001775,119.3930816
17,206.1185396,612.6539619,46.29150223,41.34808141,330.6270347,352.1343099,88.777887,82.16114975,63.16169676,58.61760055,183.9180435,85.02949008,83.61612434,858.8142522,220.9478339
18,136.7175403,282.9053629,23.26167515,29.59297207,314.1683534,93.74234659,46.72208466,117.6322966,28.0319801,971.7360294,399.8467128,269.1194233,275.887981,61.17148137,217.8954457
19,68.59742271,670.3004604,402.1463392,45.71713002,95.92185725,119.9546826,65.87778592,103.5510163,78.71197179,134.2885706,329.6062198,105.3899776,83.91677501,956.5387095,232.8942085
20,148.5660112,77.46305167,27.71324907,88.12414523,223.8958137,210.2056136,637.63168,246.9044673,208.881774,213.5236734,344.9731201,147.0795356,177.8999606,595.521464,239.1702542
